Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12539558,2021-09-01 00:48:10,2020-08-28 10:09:58,11220117,6754510434,11220117,602,3693,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12539/SRR12539558/SRR12539558.lite.1,SRX9029241,Sacculina interna N,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP279185,PRJNA659937,,659937,SRS7280528,SAMN15930503,simple,51650,Sacculina carcini,Sacculina_carcini_SCAR_RN (RNAseq Illumina),,,,,,,no,,,,,ZOOLOGICAL RESEARCH MUSEUM ALEXANDER KOENIG,SRA1118337,,public,35760FFD2ECE1F61CC4E526EB41E8F75,D75CC576436B0CE0AA8AE35707EF3DBD
ERR6286734,2021-07-14 21:05:58,2021-07-19 03:50:42,20614168,6225478736,20614168,302,2649,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6286/ERR6286734/ERR6286734.lite.1,ERX5921422,,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 4000,ERP129267,PRJEB45156,,731786,ERS5279397,SAMEA7522920,simple,51650,Sacculina carcini,SAMEA7522920,,,,,female,,no,,,,,WELLCOME SANGER INSTITUTE,ERA5236445,,public,B00191E8618B195E41544E45F33351C2,18896113CA424F698BD8A358BCA9AC04
SRR13051591,2021-06-12 17:18:27,2020-11-12 22:46:36,32661734,9798520200,32661734,300,2937,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13051/SRR13051591/SRR13051591.lite.1,SRX9500989,Lan001_RNAseq-S,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP292429,PRJNA678024,,678024,SRS7709761,SAMN16787440,simple,245079,Lepas anserifera,Lan001,,,,,,,no,,,,,HONG KONG BAPTIST UNIVERSITY,SRA1158201,,public,87B1271E781A08FD4E88FABD71ADCF62,A5CC641595436E70A8B06A0E935F61B0
SRR13164554,2020-11-29 22:08:50,2020-11-29 22:06:34,10457004,3158015208,10457004,302,1733,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13164/SRR13164554/SRR13164554.lite.1,SRX9603444,LTS16-JM17_391bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS7807157,SAMN16953522,simple,1325305,Megabalanus ajax,Majex_promosa_L1,,,,,,,no,,,,,AKITA PREFECTURAL UNIVERSITY,SRA1164912,,public,390350B21D22F2DEAEF562D01C7ABAFD,A3ADF875DC940A0050EC8F4E9EC032FE
SRR13169468,2022-01-31 03:09:38,2020-11-30 17:44:05,11060514,3340275228,11060514,302,1847,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13169/SRR13169468/SRR13169468.lite.1,SRX9607837,LTS16-JM08_379bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS7811193,SAMN16963734,simple,1325312,Membranobalanus longirostrum,Mlong_promosa_L1,,,,,,,no,,,,,AKITA PREFECTURAL UNIVERSITY,SRA1165451,,public,68A2C7B95E39868D12232FAB7AB333EF,3D0374C64370D4FE8AC7A67D2F0EBE44
SRR13169467,2022-01-31 03:09:38,2020-11-30 17:44:31,11007130,3324153260,11007130,302,1831,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13169/SRR13169467/SRR13169467.lite.1,SRX9607838,LTS16-JM08_379bp_L002,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS7811194,SAMN16963735,simple,1325312,Membranobalanus longirostrum,Mlong_promosa_L2,,,,,,,no,,,,,AKITA PREFECTURAL UNIVERSITY,SRA1165451,,public,7498747455D2133A0A420BE77DB0E98B,5729323ECF906649DD9C59EE461FCA78
SRR13518267,2022-01-31 03:10:01,2021-01-25 02:24:14,10308452,3113152504,10308452,302,1723,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13518/SRR13518267/SRR13518267.lite.1,SRX9929312,LTS16-JM20_366bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS8104900,SAMN17525968,simple,432346,Wanella milleporae,Wmill_base_L1,,,,,,,no,,,,,ACADEMIA SINICA,SRA1187339,,public,F73EE5FF1D18E84BE401AF6A8BAD908E,EB52F053E3FD447F2A1401E712E8E326
SRR13523349,2022-01-31 03:10:01,2021-01-25 16:00:03,10540808,3183324016,10540808,302,1758,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13523/SRR13523349/SRR13523349.lite.1,SRX9934015,LTS16-JM11_389bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS8109421,SAMN17491171,simple,2805688,Pectinoacasta sp. KKC-2021,PECT_base_L1,,,,,,,no,,,,,ACADEMIA SINICA,SRA1187672,,public,E198128A9DF5930B378E17BBB66013F6,6029E57349FE3FACBD270A869F3D794F
SRR13528008,2022-01-31 03:10:02,2021-01-25 22:14:39,10223749,3087572198,10223749,302,1724,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13528/SRR13528008/SRR13528008.lite.1,SRX9936326,LTS16-JM25_377bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS8111497,SAMN17573706,simple,316610,Chthamalus malayensis,Cmala_base_L1,,,,,,,no,,,,,ACADEMIA SINICA,SRA1187783,,public,F171110760E0633C77305C4F4F1B7B89,250A3E3C648454AC1184826131EB81A7
SRR13557739,2022-01-31 03:10:03,2021-01-29 00:17:05,10903742,3292930084,10903742,302,1821,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13557/SRR13557739/SRR13557739.lite.1,SRX9956026,LTS16-JM48_403bp_L001,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294979,PRJNA681321,,681321,SRS8130789,SAMN17598517,simple,748155,Conchoderma hunteri,Chunt_promosa_L1,,,,,,,no,,,,,ACADEMIA SINICA,SRA1188232,,public,8D85EDDCBF07A38E55BD05AD95A8F271,5D2D8DED2CD50F8A9C9FC9DA8EF602A0
